scope,scenario,long_rule,short_rule,mode,instruments,eligible,positive_net,positive_gross,median_cagr,median_drawdown,median_full_return,positive_common,thin,thin_short_full,exhausted,trades,median_short_trades,short_contribution_positive,median_delta_long,median_delta_shared,improved_long,improved_shared,less_drawdown_long,improved_both_long
Watchlist ETFs & crypto,r20_r14,r20,r14,both,21,21,13,14,0.007779795729782268,-0.41811132190534683,0.08923910975121485,13,0,0,0,529,13,0,-0.04326371154052788,-0.022066002765159354,1,5,0,0
Watchlist ETFs & crypto,r20_r15,r20,r15,both,21,21,13,14,0.01565823672544453,-0.36532474187061614,0.13061271831691235,13,0,0,0,610,17,1,-0.038176157145189515,-0.012061781750108302,1,8,0,0
Watchlist ETFs & crypto,r20_r16,r20,r16,both,21,21,13,14,0.01565823672544453,-0.3653247418706165,0.20311177442266626,13,0,0,0,607,17,1,-0.03660385216962414,-0.012031254675579195,1,8,0,0
Watchlist ETFs & crypto,r20_r17,r20,r17,both,21,21,15,16,0.01116972293334717,-0.40461607709439085,0.1118583346089903,16,0,0,0,568,15,2,-0.03466314601542386,-0.009633370091485016,1,6,1,1
Watchlist ETFs & crypto,r20_r18,r20,r18,both,21,21,11,11,0.00035335715795214995,-0.40166654834527626,0.0034824117806044885,11,0,14,0,319,4,1,-0.03841525786030242,-0.017324961366617764,1,4,0,0
Watchlist ETFs & crypto,r20_r19,r20,r19,both,21,21,16,16,0.024661849924439316,-0.3223649096553475,0.2544382558573659,16,0,1,0,370,6,1,-0.01839395318125403,0.006559084056966591,2,15,0,0
Watchlist ETFs & crypto,r20_r20,r20,r20,both,21,21,15,15,0.010751867210808674,-0.3223649096553478,0.11096820934040563,15,0,6,0,350,5,3,-0.025823938992102224,0.0,3,0,0,0
Watchlist ETFs & crypto,r20_r21,r20,r21,both,21,21,16,17,0.030994058124332424,-0.3139918327350115,0.29674045944539174,16,0,1,0,374,6,3,-0.009590936578208531,0.013498929380551417,4,15,0,0
Watchlist ETFs & crypto,r20_r22,r20,r22,both,21,21,16,18,0.027379007324711324,-0.3139918327350124,0.2842637988755332,16,0,2,0,373,6,3,-0.010321906232154232,0.013498929380551417,4,15,1,1
Watchlist ETFs & crypto,r20_r23,r20,r23,both,21,21,16,17,0.028271036369701186,-0.29687974850691157,0.31563926145836185,16,0,4,0,359,6,4,-0.015454700714244485,0.009645665448908103,4,18,0,0
Watchlist ETFs & crypto,r20_r24,r20,r24,both,21,21,10,12,0.0038023522464516457,-0.4806277492814923,-0.009810105765887589,12,0,0,0,877,28,0,-0.04561803809954923,-0.024274909573479442,1,3,0,0
Watchlist ETFs & crypto,r21_r00,r21,r00,both,21,21,0,0,-0.10051921093191818,-0.6768484920917363,-0.6564731262775295,0,0,0,0,1201,33,0,-0.11115867500496357,-0.09644486631062399,0,0,0,0
Watchlist ETFs & crypto,r21_r01,r21,r01,both,21,21,0,0,-0.07864285464466092,-0.6047062387738906,-0.5569277380467983,0,0,0,0,1822,60,0,-0.08293152308608842,-0.07674863115464658,0,0,0,0
Watchlist ETFs & crypto,r21_r02,r21,r02,both,21,21,0,0,-0.09024101328034528,-0.6556670494616621,-0.6100994665464303,0,0,0,0,1501,44,0,-0.09399562630196234,-0.08784544901799518,0,0,0,0
Watchlist ETFs & crypto,r21_r03,r21,r03,both,21,21,0,1,-0.05591505893433624,-0.5176291925753757,-0.49199008865684624,0,0,0,0,1927,65,0,-0.06350186607182362,-0.05158299404456701,0,0,0,0
Watchlist ETFs & crypto,r21_r04,r21,r04,both,21,21,0,0,-0.057506566411430926,-0.5350090113015529,-0.48143695998373925,0,0,0,0,1900,65,0,-0.06563098823410107,-0.055214262591899876,0,0,0,0
Watchlist ETFs & crypto,r21_r05,r21,r05,both,21,21,0,0,-0.06810758714632525,-0.5830223278007038,-0.5655528992701289,0,0,0,0,1743,56,0,-0.0799385118435385,-0.07074719658932926,0,1,0,0
Watchlist ETFs & crypto,r21_r06,r21,r06,both,21,21,0,0,-0.09062080308814313,-0.6660405999582382,-0.6125097663532592,0,0,0,0,1047,24,0,-0.09684047663582573,-0.08930386959457415,0,0,0,0
Watchlist ETFs & crypto,r21_r07,r21,r07,both,21,21,0,0,-0.06198816982066091,-0.5597872436727328,-0.5059094798296074,0,0,0,0,1458,42,0,-0.06991032825317955,-0.05701805857916742,0,0,0,0
Watchlist ETFs & crypto,r21_r08,r21,r08,both,21,21,0,0,-0.07868234159531651,-0.6220456485237535,-0.5640475489800336,0,0,0,0,1278,34,0,-0.08497348545309513,-0.06716217216703468,0,0,0,0
Watchlist ETFs & crypto,r21_r09,r21,r09,both,21,21,1,1,-0.053413599651906285,-0.5137303038110042,-0.4581303175335354,1,0,0,0,1516,45,0,-0.05914673595799247,-0.04481911959958462,1,1,0,0
Watchlist ETFs & crypto,r21_r10,r21,r10,both,21,21,0,1,-0.05428640482706071,-0.5172117531491183,-0.44869004919112854,0,0,0,0,1501,44,0,-0.06172385646926282,-0.045691924774739046,0,0,0,0
Watchlist ETFs & crypto,r21_r11,r21,r11,both,21,21,0,1,-0.05948991959284422,-0.5647520534281256,-0.46721600599463775,0,0,0,0,1404,38,0,-0.0665426227467133,-0.04625327495251297,0,0,0,0
Watchlist ETFs & crypto,r21_r12,r21,r12,both,21,21,0,1,-0.057544027616035054,-0.5796354659196001,-0.4524306279503716,0,0,0,0,829,11,1,-0.06322322464794505,-0.05428711483030679,1,0,0,0
Watchlist ETFs & crypto,r21_r13,r21,r13,both,21,21,2,2,-0.04024086738022625,-0.460440978980868,-0.32627088792883663,2,0,0,0,991,17,1,-0.043048550802172736,-0.030323033101163355,1,1,0,0
Watchlist ETFs & crypto,r21_r14,r21,r14,both,21,21,0,3,-0.04143029455032243,-0.47544478916673805,-0.3344418099519395,2,0,0,0,930,15,0,-0.051736347575256914,-0.03073936850323422,0,0,0,0
Watchlist ETFs & crypto,r21_r15,r21,r15,both,21,21,1,5,-0.033835501027456694,-0.41366249985086123,-0.29867479658495577,1,0,0,0,1014,18,1,-0.03850122177072701,-0.023372111433982323,1,2,0,0
Watchlist ETFs & crypto,r21_r16,r21,r16,both,21,21,2,6,-0.027837452653470374,-0.41870631899832556,-0.2738252803988015,2,0,0,0,1011,18,1,-0.03260178069615405,-0.023586906340199665,1,2,0,0
Watchlist ETFs & crypto,r21_r17,r21,r17,both,21,21,3,4,-0.03015255741623124,-0.46048649540765174,-0.26286859714825683,2,0,0,0,973,17,1,-0.0385282107023035,-0.02893398499762423,1,2,0,0
Watchlist ETFs & crypto,r21_r18,r21,r18,both,21,21,3,4,-0.034312050685342044,-0.4537371164428379,-0.2907542854557127,3,0,14,0,689,4,1,-0.038013349121758244,-0.028220062628666276,1,4,0,0
Watchlist ETFs & crypto,r21_r19,r21,r19,both,21,21,4,10,-0.014931562529591158,-0.3364530009188459,-0.12247220054586394,4,0,1,0,740,6,2,-0.018553875047517154,-0.006224321992332804,2,4,0,0
Watchlist ETFs & crypto,r21_r20,r21,r20,both,21,21,4,8,-0.021713804211043297,-0.37968243845162886,-0.19427605176136964,4,0,6,0,721,5,3,-0.024293983436394884,-0.013151958108490014,3,6,0,0
Watchlist ETFs & crypto,r21_r21,r21,r21,both,21,21,6,15,-0.004332064889769227,-0.28487156019286164,-0.041819787508719175,6,0,1,0,744,6,4,-0.009014874355954383,0.0,4,0,0,0
Watchlist ETFs & crypto,r21_r22,r21,r22,both,21,21,6,15,-0.004332064889769227,-0.2865215042340076,-0.041819787508719175,6,0,2,0,743,6,4,-0.009231030028035603,0.0,4,1,1,1
Watchlist ETFs & crypto,r21_r23,r21,r23,both,21,21,7,12,-0.005685642726483975,-0.281475882846442,-0.054560556270730975,7,0,4,0,729,6,4,-0.012142942755710928,0.0014687355468997465,4,11,0,0
Watchlist ETFs & crypto,r21_r24,r21,r24,both,21,21,0,1,-0.05428640482706071,-0.5172117531491183,-0.44869004919112854,0,0,0,0,1503,44,0,-0.06172385646926282,-0.045691924774739046,0,0,0,0
Watchlist ETFs & crypto,r22_r00,r22,r00,both,21,21,0,0,-0.09705648822580892,-0.6763012557148488,-0.6359835841237071,0,0,0,0,1184,33,0,-0.10904510739312567,-0.09587565378256235,0,0,0,0
Watchlist ETFs & crypto,r22_r01,r22,r01,both,21,21,0,0,-0.07856845715622385,-0.6106172050723591,-0.5538959570066387,0,0,0,0,1803,59,0,-0.08218549150652021,-0.07442937513443704,0,0,0,0
Watchlist ETFs & crypto,r22_r02,r22,r02,both,21,21,0,0,-0.08626373494364281,-0.6581055350691445,-0.6124645355996063,0,0,0,0,1482,44,0,-0.09400088287694464,-0.08822949117251877,0,0,0,0
Watchlist ETFs & crypto,r22_r03,r22,r03,both,21,21,0,2,-0.05586226229392288,-0.522291856454143,-0.47227205844259135,0,0,0,0,1908,64,0,-0.06376484981965147,-0.05158587875193765,0,0,0,0
Watchlist ETFs & crypto,r22_r04,r22,r04,both,21,21,0,0,-0.05468077094241919,-0.5342999175658849,-0.48735521263425985,0,0,0,0,1881,64,0,-0.06591791335551267,-0.05518141413258215,0,0,0,0
Watchlist ETFs & crypto,r22_r05,r22,r05,both,21,21,0,0,-0.0683889142389622,-0.5843264721256134,-0.5570911577620746,0,0,0,0,1724,56,0,-0.07968005934169409,-0.06781803006349207,0,1,0,0
Watchlist ETFs & crypto,r22_r06,r22,r06,both,21,21,0,0,-0.08894746011097598,-0.670074570633528,-0.6060234471716446,0,0,0,0,1031,24,0,-0.09592709668106203,-0.08924719543613957,0,0,0,0
Watchlist ETFs & crypto,r22_r07,r22,r07,both,21,21,0,0,-0.059988751309824284,-0.5548517311476673,-0.49629341989503395,0,0,0,0,1441,42,0,-0.06968429828558187,-0.055902836132932454,0,0,0,0
Watchlist ETFs & crypto,r22_r08,r22,r08,both,21,21,0,0,-0.08052569141479204,-0.6166525948945789,-0.5661830013512917,0,0,0,0,1261,34,0,-0.08486023477098792,-0.0673067649014022,0,0,0,0
Watchlist ETFs & crypto,r22_r09,r22,r09,both,21,21,1,1,-0.05394060644057663,-0.5158054128761687,-0.45273443022344395,1,0,0,0,1499,45,0,-0.05944726025998559,-0.04367360439326451,1,1,0,0
Watchlist ETFs & crypto,r22_r10,r22,r10,both,21,21,0,2,-0.0568163801005398,-0.5120700530909301,-0.4647121106388321,0,0,0,0,1484,44,0,-0.06168713527635039,-0.04556968962821295,0,1,0,0
