scope,config,mode,instruments,eligible,positive_net,positive_gross,positive_common,median_cagr,median_drawdown,median_full_return,thin_samples,exhausted,trades,channel_exits,initial_exits,trailing_exits
Priority assets,initial_trailing-e10-x20-i2-t3,both,60,60,14,28,14,-0.03047733674422376,-0.4979721526363615,-0.30174769021052533,0,0,7196,0,2234,4962
Priority assets,initial_trailing-e10-x20-i2-t3,long,60,60,51,57,48,0.025847028697021046,-0.27160098959267126,0.3615756823648175,1,0,3834,0,1044,2790
Priority assets,initial_trailing-e10-x20-i2-t3,short,60,60,2,5,2,-0.06735843789392337,-0.5725740297561652,-0.5178612674685672,1,0,3684,0,1276,2408
Priority assets,initial_trailing-e10-x20-i2-t4,both,60,60,25,36,25,-0.011563167803930852,-0.48800561239553003,-0.10506128629885358,0,0,5348,0,2469,2879
Priority assets,initial_trailing-e10-x20-i2-t4,long,60,60,55,58,55,0.04331059781177571,-0.26583860474249404,0.5985789646158476,1,0,2964,0,1176,1788
Priority assets,initial_trailing-e10-x20-i2-t4,short,60,60,2,5,2,-0.08464880854962742,-0.6237844701084287,-0.6193478409969857,1,0,3242,0,1726,1516
Priority assets,initial_trailing-e10-x20-i3-t3,both,60,60,13,28,13,-0.036950311438376904,-0.49312085299742736,-0.29658640140197423,0,0,6830,0,80,6750
Priority assets,initial_trailing-e10-x20-i3-t3,long,60,60,53,57,52,0.023855768032635893,-0.27872420597841335,0.3434184611567752,1,0,3667,0,30,3637
Priority assets,initial_trailing-e10-x20-i3-t3,short,60,60,2,3,2,-0.06914571544430798,-0.5736877419151281,-0.5255914562780835,1,0,3546,0,48,3498
Priority assets,initial_trailing-e10-x20-i3-t4,both,60,60,23,31,24,-0.019209278569382315,-0.512169617896144,-0.1227890366591966,0,0,4675,0,1025,3650
Priority assets,initial_trailing-e10-x20-i3-t4,long,60,60,54,58,54,0.04456267598234398,-0.28346862274780205,0.5850146817557873,1,0,2671,0,478,2193
Priority assets,initial_trailing-e10-x20-i3-t4,short,60,60,2,3,2,-0.09120828877317555,-0.6394606812756908,-0.6166879596440814,1,0,2950,0,754,2196
Priority assets,initial_trailing-e20-x20-i2-t3,both,60,60,16,26,18,-0.027787898485812257,-0.4689538470477006,-0.2665846079458301,0,0,5518,0,1634,3884
Priority assets,initial_trailing-e20-x20-i2-t3,long,60,60,47,56,43,0.02131563187192642,-0.21780107016811578,0.2616995896864631,1,0,3064,0,782,2282
Priority assets,initial_trailing-e20-x20-i2-t3,short,60,60,2,4,2,-0.05987919755544319,-0.5070547737679956,-0.4638320298253554,1,0,2473,0,857,1616
Priority assets,initial_trailing-e20-x20-i2-t4,both,60,60,21,38,26,-0.005283659172170219,-0.4215290308246682,-0.0628345661905434,1,0,4503,0,2055,2448
Priority assets,initial_trailing-e20-x20-i2-t4,long,60,60,54,57,54,0.03761322891012575,-0.2465711119189249,0.45811316006361,1,0,2422,0,945,1477
Priority assets,initial_trailing-e20-x20-i2-t4,short,60,60,2,3,2,-0.06483959302188758,-0.5239733826343127,-0.45866831421817605,1,0,2192,0,1178,1014
Priority assets,initial_trailing-e20-x20-i3-t3,both,60,60,16,26,15,-0.028033897351702863,-0.47242735846778566,-0.21599720301186826,0,0,5294,0,85,5209
Priority assets,initial_trailing-e20-x20-i3-t3,long,60,60,52,57,46,0.025617467221960566,-0.22195686913468865,0.3110218522602777,1,0,2914,0,23,2891
Priority assets,initial_trailing-e20-x20-i3-t3,short,60,60,2,2,2,-0.06093692172065018,-0.5043334218811245,-0.4913789872605351,1,0,2401,0,62,2339
Priority assets,initial_trailing-e20-x20-i3-t4,both,60,60,23,40,25,-0.00526361086365168,-0.482575256712083,-0.10838668457671974,0,0,4064,0,855,3209
Priority assets,initial_trailing-e20-x20-i3-t4,long,60,60,57,59,58,0.038403660640046966,-0.2556302044908748,0.49081927009594783,1,0,2177,0,344,1833
