scope,scenario,period,cost,assets,median_cagr,median_drawdown,positive,median_net,thin,short_history,failures
Priority assets,e10-x70-s0,full,gross,60,0.0813556080476856,-0.34609254551988583,60,1.2572040422701354,2,0,0
Priority assets,e10-x70-s0,validation,normal,60,0.052203720170742596,-0.3473048735330243,49,0.32868113174076685,3,2,0
Priority assets,e10-x70-s0,validation,double,60,0.046809153226387235,-0.35739625838152106,48,0.27981226107841584,3,2,0
Priority assets,e10-x70-s0,validation,gross,60,0.05761166658967598,-0.3391928891674289,51,0.3795373868632357,3,2,0
Priority assets,e10-x70-s2,full,normal,60,0.07335963136428802,-0.3521808730868877,60,1.11866253806852,2,0,0
Priority assets,e10-x70-s2,full,double,60,0.06633779060928946,-0.3660726548678274,59,0.9488686749840914,2,0,0
Priority assets,e10-x70-s2,full,gross,60,0.0804085244309668,-0.3283192481957476,60,1.2820908643632938,2,0,0
Priority assets,e10-x70-s2,validation,normal,60,0.06523077930644239,-0.33454997227594147,55,0.501834327604873,2,2,0
Priority assets,e10-x70-s2,validation,double,60,0.058549770576350246,-0.3454013485983511,51,0.41969298379290887,2,2,0
Priority assets,e10-x70-s2,validation,gross,60,0.07514265437100909,-0.31802887572251326,57,0.5886627537727964,2,2,0
Priority assets,e10-x70-s3,full,normal,60,0.07340583649888155,-0.34000473286736826,60,1.0954930150877675,2,0,0
Priority assets,e10-x70-s3,full,double,60,0.06741402187168777,-0.3448410380877663,59,0.94174965726295,2,0,0
Priority assets,e10-x70-s3,full,gross,60,0.07794092133755193,-0.33514878551641686,60,1.2138332037878135,2,0,0
Priority assets,e10-x70-s3,validation,normal,60,0.06111853688812241,-0.32627690568054957,53,0.4538782409397466,3,2,0
Priority assets,e10-x70-s3,validation,double,60,0.05654769723465258,-0.3338327759476875,50,0.3890525329734136,3,2,0
Priority assets,e10-x70-s3,validation,gross,60,0.06862383558011265,-0.3186624784089809,55,0.5214811566570495,3,2,0
Priority assets,e15-x40-s0,full,normal,60,0.0639588768915611,-0.33796479166218124,59,0.8552135024852534,2,0,0
Priority assets,e15-x40-s0,full,double,60,0.0571663560941984,-0.3505388050412581,58,0.7494039522699508,2,0,0
Priority assets,e15-x40-s0,full,gross,60,0.07040540134170059,-0.3213632494726646,59,0.9850291138394706,2,0,0
Priority assets,e15-x40-s0,validation,normal,60,0.053584210336057314,-0.31626821356874824,48,0.35301107834310297,3,2,0
Priority assets,e15-x40-s0,validation,double,60,0.04890442725488142,-0.3289097756410301,43,0.2915840089260753,3,2,0
Priority assets,e15-x40-s0,validation,gross,60,0.05827772111581642,-0.3034206228400004,53,0.4171636116421634,3,2,0
