scope,scenario,cost,year,assets,median_cagr,median_drawdown,positive,median_net,thin,short_history,failures
Whole universe,baseline-short,double,2022,619,-0.08889891361747315,-0.1950642971020463,169,-0.08860857027307678,260,619,0
Whole universe,baseline-short,double,2023,628,-0.09106950139972064,-0.1483369166845353,122,-0.09077242791124057,296,628,0
Whole universe,baseline-short,double,2024,634,-0.07266509735346,-0.1383762667292373,125,-0.07319167240179442,481,634,0
Whole universe,baseline-short,double,2025,653,-0.10525811675960062,-0.17589351151072552,123,-0.10519000109845233,344,653,0
Whole universe,baseline-short,double,2026,658,-0.10935152761871358,-0.13961314040000716,125,-0.07532536344415303,621,658,0
Whole universe,adaptive-common,normal,2020,600,0.30250666064915765,-0.22461402879808756,497,0.3013290848628838,534,600,0
Whole universe,adaptive-common,normal,2021,609,0.17801473937255352,-0.17833515337588823,451,0.17788264899745698,529,609,0
Whole universe,adaptive-common,normal,2022,619,-0.1860882798934036,-0.347381078971452,159,-0.1855145419499754,389,619,0
Whole universe,adaptive-common,normal,2023,628,0.05063697447672555,-0.18405224281568427,396,0.050459378540504196,587,628,0
Whole universe,adaptive-common,normal,2024,634,0.03878156720742498,-0.1705909941434301,362,0.03907918995346116,586,634,0
Whole universe,adaptive-common,normal,2025,653,0.02877761702921,-0.19102582453195616,364,0.02875763927876518,652,653,0
Whole universe,adaptive-common,normal,2026,658,0.10274939964772101,-0.22089375465346806,405,0.06837763640624495,646,658,0
Whole universe,adaptive-common,double,2020,600,0.2831032643751141,-0.23215736483445815,482,0.2820090899507002,534,600,0
Whole universe,adaptive-common,double,2021,609,0.16914106854223854,-0.18439409253275052,447,0.16901602326913423,529,609,0
Whole universe,adaptive-common,double,2022,619,-0.19893705597767608,-0.3571139252644997,153,-0.19832871976607247,389,619,0
Whole universe,adaptive-common,double,2023,628,0.044914310082509235,-0.18919664462278718,383,0.04475720881580636,587,628,0
Whole universe,adaptive-common,double,2024,634,0.03387292771973205,-0.17439957905663878,353,0.034132263973918664,586,634,0
Whole universe,adaptive-common,double,2025,653,0.02294966198423687,-0.19435819271477117,355,0.02293377503455063,652,653,0
Whole universe,adaptive-common,double,2026,658,0.09607539265884535,-0.22376263719083445,399,0.06400104669528128,646,658,0
Whole universe,adaptive-class,normal,2020,600,0.30250666064915765,-0.22461402879808756,496,0.3013290848628838,538,600,0
Whole universe,adaptive-class,normal,2021,609,0.17801473937255352,-0.17833515337588823,451,0.17788264899745698,534,609,0
Whole universe,adaptive-class,normal,2022,619,-0.19727566826697807,-0.350304745939922,151,-0.19667176636258632,307,619,0
Whole universe,adaptive-class,normal,2023,628,0.09923743396150608,-0.2135754654791952,425,0.09888154968222063,587,628,0
Whole universe,adaptive-class,normal,2024,634,0.07493509994029757,-0.1709660746292967,398,0.07552008200789229,630,634,0
Whole universe,adaptive-class,normal,2025,653,0.025979152388839077,-0.19233475967171865,353,0.02596114178330189,617,653,0
Whole universe,adaptive-class,normal,2026,658,0.1006866932554743,-0.21853563206625243,408,0.06702611951300241,645,658,0
Whole universe,adaptive-class,double,2020,600,0.2831032643751141,-0.23215736483445815,481,0.2820090899507002,538,600,0
Whole universe,adaptive-class,double,2021,609,0.16914106854223854,-0.18439409253275052,447,0.16901602326913423,534,609,0
Whole universe,adaptive-class,double,2022,619,-0.21230841052393745,-0.36268791988650106,144,-0.2116648159989667,307,619,0
Whole universe,adaptive-class,double,2023,628,0.09075195753235221,-0.21816207426392892,417,0.09042773720696107,587,628,0
Whole universe,adaptive-class,double,2024,634,0.07166270263169783,-0.1731663322250161,397,0.07222129212587047,630,634,0
Whole universe,adaptive-class,double,2025,653,0.01819722209467023,-0.19683674457687328,343,0.018184654207636708,617,653,0
Whole universe,adaptive-class,double,2026,658,0.09602613165875495,-0.2209239117588795,399,0.0639687084254491,645,658,0
Priority equities / ETFs,e10-x55-s2,normal,2020,40,0.2527894635318486,-0.17456082788615246,35,0.25182327759163925,38,40,0
Priority equities / ETFs,e10-x55-s2,normal,2021,40,0.2770475628403156,-0.12228396658018237,34,0.27683381973392485,36,40,0
Priority equities / ETFs,e10-x55-s2,normal,2022,41,-0.20177090599297243,-0.3089601730434106,5,-0.2011550332798241,24,41,0
Priority equities / ETFs,e10-x55-s2,normal,2023,41,0.20458114504218106,-0.14834642374261708,31,0.20381406909458555,39,41,0
Priority equities / ETFs,e10-x55-s2,normal,2024,41,0.12347096795612544,-0.15646147189588633,30,0.12445618827428917,40,41,0
Priority equities / ETFs,e10-x55-s2,normal,2025,41,0.038861100110618496,-0.18113649572037338,25,0.03883399122602671,37,41,0
Priority equities / ETFs,e10-x55-s2,normal,2026,41,0.06641856528470758,-0.18296706845794863,24,0.044446217145654776,40,41,0
Priority equities / ETFs,e10-x55-s2,double,2020,40,0.24225704304800777,-0.1800473897991079,35,0.24133488114014479,38,40,0
Priority equities / ETFs,e10-x55-s2,double,2021,40,0.27339344472824856,-0.12415482019408297,34,0.27318281046067705,36,40,0
Priority equities / ETFs,e10-x55-s2,double,2022,41,-0.21304093161718018,-0.32187489245086365,5,-0.21239542780676268,24,41,0
Priority equities / ETFs,e10-x55-s2,double,2023,41,0.2015969490114955,-0.1485242905953924,29,0.20084196713777636,39,41,0
Priority equities / ETFs,e10-x55-s2,double,2024,41,0.11367312410350006,-0.16170769029690302,30,0.11457624404919842,40,41,0
Priority equities / ETFs,e10-x55-s2,double,2025,41,0.029601487804982174,-0.18650603322030979,24,0.029580929932417233,37,41,0
Priority equities / ETFs,e10-x55-s2,double,2026,41,0.06062723296523709,-0.1909096122124686,24,0.04060714626117057,40,41,0
Priority equities / ETFs,e20-x55-s0,normal,2020,40,0.21014796478471576,-0.19124687201363227,33,0.2093582607957971,40,40,0
Priority equities / ETFs,e20-x55-s0,normal,2021,40,0.2679592322902524,-0.11763478785563586,34,0.26775319601879577,40,40,0
Priority equities / ETFs,e20-x55-s0,normal,2022,41,-0.2192704337545639,-0.2931869304364938,4,-0.21860878728680533,41,41,0
Priority equities / ETFs,e20-x55-s0,normal,2023,41,0.16065845855716643,-0.1350933247596232,32,0.1600668107065255,41,41,0
Priority equities / ETFs,e20-x55-s0,normal,2024,41,0.17636735291929773,-0.13040549488178488,33,0.1778068818892815,41,41,0
Priority equities / ETFs,e20-x55-s0,normal,2025,41,0.07146548729337865,-0.16864500851438535,28,0.07141486535634511,41,41,0
Priority equities / ETFs,e20-x55-s0,normal,2026,41,0.06641859378855353,-0.1775174539119979,28,0.04444623602420217,41,41,0
Priority equities / ETFs,e20-x55-s0,double,2020,40,0.20036412079747512,-0.1947392552121609,32,0.19961412649425747,40,40,0
Priority equities / ETFs,e20-x55-s0,double,2021,40,0.2684709873942307,-0.11787502058716864,34,0.2682645178583817,40,40,0
Priority equities / ETFs,e20-x55-s0,double,2022,41,-0.229778697699346,-0.30044731344332853,4,-0.22909020613083708,41,41,0
Priority equities / ETFs,e20-x55-s0,double,2023,41,0.15783081580111347,-0.1383944373920335,32,0.15725026974265788,41,41,0
Priority equities / ETFs,e20-x55-s0,double,2024,41,0.1752504840805036,-0.13271338873470462,33,0.17668023106256459,41,41,0
Priority equities / ETFs,e20-x55-s0,double,2025,41,0.06756307727870192,-0.17174744923533858,28,0.06751530577440845,41,41,0
Priority equities / ETFs,e20-x55-s0,double,2026,41,0.0617743943206952,-0.18015708593217827,28,0.04136813680361873,41,41,0
Priority equities / ETFs,e20-x55-s3,normal,2020,40,0.21127884781349227,-0.1561795564671889,32,0.21048453513961585,39,40,0
Priority equities / ETFs,e20-x55-s3,normal,2021,40,0.26795923229025265,-0.11607338833749337,34,0.267753196018796,40,40,0
Priority equities / ETFs,e20-x55-s3,normal,2022,41,-0.18120922030557174,-0.2795168805510665,5,-0.18064880229738833,39,41,0
Priority equities / ETFs,e20-x55-s3,normal,2023,41,0.16065845855716598,-0.1350918266808736,31,0.1600668107065253,41,41,0
Priority equities / ETFs,e20-x55-s3,normal,2024,41,0.14203903995889644,-0.14055933197686965,32,0.14318162537236323,41,41,0
